#Feature ID	Taxon	Confidence
a68ace7d7ee4f50ad09513287f7ab7b8	Unassigned	0.30065526501580075
07c677f31c6762c13e48e8c969338465	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.8687009190557369
6c5c4c21d077698b59e8e499d650364e	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7105841743445617
88a835d57aa54cbee7290cdbd11b2a0b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium	0.858323520633999
c9e0a8091d5170dfbd09d901e84f13de	Unassigned	0.35162387006208473
80424ef58d09a0c114fb257e86c17968	Unassigned	0.3599308246721167
786ae144ef4a67b9991e99a195f1e8b0	Unassigned	0.3453607941818476
ed056cd0b48e16fd96886d222ef02b48	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Panaeolus;s__Panaeolus_semiovatus	0.9644409403219267
e3998f0b554a1262740556f16a308cea	k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.8661739940037121
2411e33a4ffb906ae275216da9a8cff7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum	0.9861446998301793
599b81282e8bfcb7995256baded3e348	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7535428010454772
d710feabcbcb26f892189bc055470792	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Verrucocladosporium;s__Verrucocladosporium_dirinae	0.9862178010870684
cfae4818a0045ccab07862358bf26ec6	Unassigned	0.35176616235818503
58965a4ee9db4ca2399db7197d2124f3	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Solanaceae;g__Solanum;s__Solanum_tuberosum	0.9177804490793611
7b4a9fca5eccc7a67b6755c74f46fc03	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_viride	0.9787173906797723
1acf4934431c361b37a3189bf7fe8055	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.775979528984934
5f7e4ecb1ba962d024a7327f9b82f98f	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__unidentified;g__unidentified;s__unidentified	0.9975954024820651
556ba96dfe72d9cc1bbbac9f9274bb99	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Monocillium;s__Monocillium_griseo-ochraceum	0.9999999936680553
3db52251297dd2f029b6f98a318cec63	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_muriae	0.9980723938262703
7f4953a7ba4a0510904a1eb990ddf0a5	Unassigned	0.3833754910550975
65e902023594a3bd3e7d02d39978c306	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella	0.9999997322535745
235432ff3cf23b5931d7cf2bbd5eb656	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_persicinum	0.9999999791529606
ce961cb07a8f3a5adfb1bf6cfd0d314d	Unassigned	0.3472964275786049
97af2c588155cb6d9e31908f5b701bc2	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7157720884273066
05499137ea7f2efe05eee1409eb67abc	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7179843240805444
a96c063e4fd0fc4446572c1f6d07e027	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7692221664259012
904975e70a823dacb100b5cfb4e23f92	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7378541486721613
15a78fadc88e3037655aca0432695ec0	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7972348851138061
1e1be121c30d437f3228f564f27ff9bb	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Chrysosporium;s__Chrysosporium_pseudomerdarium	0.9983777184242617
a995d03c05a015487f2f68890ab8cb9b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.999969823073457
312e8fe94299f934254210887c1fd4c0	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7525872344278758
e0e6743315fe196ee7f6d93783c5d116	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Cephalotrichum;s__Cephalotrichum_stemonitis	0.9999779588687292
3fb0a96707bd982e2591c1e37948ebb9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.9133366671258766
7915bab9496903ce5d673ff14a1d6746	Unassigned	0.3140680591726257
ac5d816d1a2da2c754235668bff4e191	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_friesii	0.9937223403096811
c41e39495ade0c3080d5e45a1dc3435d	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8714637309004268
dd8d3604fc2ad40e36a8aeeb565ea33e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0.9624241995326606
a3691b1ce73bf6784ec6a4fd450f0911	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Solanaceae;g__Solanum	0.9856789463820117
69560c301b6184ef32bc7ec9207e8109	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus;s__Thanatephorus_cucumeris	0.9784312128515846
cd11faf61e212fa78a81632580e1ba76	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7493173685599204
