SampleID	Year_Plot	SampleName	SampleNo	SampleType	LibraryType	Year	TubeName	Seedlot	OriginalNo	RepNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
S118.58.O.2.16S_000000000.J58CV	2019_B_58	118-58-O-2-16S	118	eye	16S	2018-2019	58-O-2	58	58	2	Colomba	B	B_58	HIJUM	Wintertarwe	Wheat	Clay	B_58	1484.146501	-1.471772896	0.858686278	Low	Low	1497.59346	-0.596846787	1.124345336	1217.239373	-0.11563693	1.048606017
S121.58.O.4.16S_000000000.J58CV	2019_B_58	121-58-O-4-16S	121	eye	16S	2018-2019	58-O-4	58	58	4	Colomba	B	B_58	HIJUM	Wintertarwe	Wheat	Clay	B_58	1484.146501	-1.471772896	0.858686278	Low	Low	1497.59346	-0.596846787	1.124345336	1217.239373	-0.11563693	1.048606017
S192.58.O.1.16S_000000000.J52V7	2019_B_58	192-58-O-1-16S	192	eye	16S	2018-2019	58-O-1	58	58	1	Colomba	B	B_58	HIJUM	Wintertarwe	Wheat	Clay	B_58	1484.146501	-1.471772896	0.858686278	Low	Low	1497.59346	-0.596846787	1.124345336	1217.239373	-0.11563693	1.048606017
S60.58.O.3.16S_000000000.J53BN	2019_B_58	60-58-O-3-16S	60	eye	16S	2018-2019	58-O-3	58	58	3	Colomba	B	B_58	HIJUM	Wintertarwe	Wheat	Clay	B_58	1484.146501	-1.471772896	0.858686278	Low	Low	1497.59346	-0.596846787	1.124345336	1217.239373	-0.11563693	1.048606017
S137.60.O.1.16S_000000000.J58CV	2019_B_60	137-60-O-1-16S	137	eye	16S	2018-2019	60-O-1	60	60	1	Colomba	B	B_60	AALTEN	Grasland	Grass	Sand	B_60	1855.04996	2.111802188	2.206961217	High	High	1620.171969	0.421615069	1.584674193	1250.098999	0.189320308	1.350741268
S37.60.O.3.16S_000000000.J59B3	2019_B_60	37-60-O-3-16S	37	eye	16S	2018-2019	60-O-3	60	60	3	Colomba	B	B_60	AALTEN	Grasland	Grass	Sand	B_60	1855.04996	2.111802188	2.206961217	High	High	1620.171969	0.421615069	1.584674193	1250.098999	0.189320308	1.350741268
S43.60.O.4.16S_000000000.J59B3	2019_B_60	43-60-O-4-16S	43	eye	16S	2018-2019	60-O-4	60	60	4	Colomba	B	B_60	AALTEN	Grasland	Grass	Sand	B_60	1855.04996	2.111802188	2.206961217	High	High	1620.171969	0.421615069	1.584674193	1250.098999	0.189320308	1.350741268
S61.60.O.2.16S_000000000.J53BN	2019_B_60	61-60-O-2-16S	61	eye	16S	2018-2019	60-O-2	60	60	2	Colomba	B	B_60	AALTEN	Grasland	Grass	Sand	B_60	1855.04996	2.111802188	2.206961217	High	High	1620.171969	0.421615069	1.584674193	1250.098999	0.189320308	1.350741268
S170.134.O.4.16S_000000000.J52V7	2019_C_134	170-134-O-4-16S	170	eye	16S	2018-2019	134-O-4	134	214	4	Festien	C	C_134	BOYL	NA	Unknown	Sand	C_134	1174.218448	0.645926745	-0.267936339	High	Middle	1073.073776	1.116378051	-0.469887306	1163.381442	1.175931736	0.553397106
S18.134.O.3.16S_000000000.J59B3	2019_C_134	18-134-O-3-16S	18	eye	16S	2018-2019	134-O-3	134	214	3	Festien	C	C_134	BOYL	NA	Unknown	Sand	C_134	1174.218448	0.645926745	-0.267936339	High	Middle	1073.073776	1.116378051	-0.469887306	1163.381442	1.175931736	0.553397106
S68.134.O.2.16S_000000000.J53BN	2019_C_134	68-134-O-2-16S	68	eye	16S	2018-2019	134-O-2	134	214	2	Festien	C	C_134	BOYL	NA	Unknown	Sand	C_134	1174.218448	0.645926745	-0.267936339	High	Middle	1073.073776	1.116378051	-0.469887306	1163.381442	1.175931736	0.553397106
S73.134.O.1.16S_000000000.J53BN	2019_C_134	73-134-O-1-16S	73	eye	16S	2018-2019	134-O-1	134	214	1	Festien	C	C_134	BOYL	NA	Unknown	Sand	C_134	1174.218448	0.645926745	-0.267936339	High	Middle	1073.073776	1.116378051	-0.469887306	1163.381442	1.175931736	0.553397106
X30.136.1.O.16S_000000000.J99GR	2019_C_136	30_136_1_O_16S	W30	eye	16S	2018-2019	136-O-1	136	216	1	Festien	C	C_136	WARFFUM	Wintertarwe	Wheat	Clay	C_136	1079.308692	0.18846114	-0.612943762	Middle	Middle	826.6606761	-0.659884006	-1.395262083	1029.122545	-0.069190906	-0.68107664
S133.136.O.3.16S_000000000.J58CV	2019_C_136	133-136-O-3-16S	133	eye	16S	2018-2019	136-O-3	136	216	3	Festien	C	C_136	WARFFUM	Wintertarwe	Wheat	Clay	C_136	1079.308692	0.18846114	-0.612943762	Middle	Middle	826.6606761	-0.659884006	-1.395262083	1029.122545	-0.069190906	-0.68107664
S153.136.O.2.16S_000000000.J52V7	2019_C_136	153-136-O-2-16S	153	eye	16S	2018-2019	136-O-2	136	216	2	Festien	C	C_136	WARFFUM	Wintertarwe	Wheat	Clay	C_136	1079.308692	0.18846114	-0.612943762	Middle	Middle	826.6606761	-0.659884006	-1.395262083	1029.122545	-0.069190906	-0.68107664
S86.136.O.4.16S_000000000.J53BN	2019_C_136	86-136-O-4-16S	86	eye	16S	2018-2019	136-O-4	136	216	4	Festien	C	C_136	WARFFUM	Wintertarwe	Wheat	Clay	C_136	1079.308692	0.18846114	-0.612943762	Middle	Middle	826.6606761	-0.659884006	-1.395262083	1029.122545	-0.069190906	-0.68107664
X25.140.3.O.16S_000000000.J99GR	2019_C_140	25_140_3_O_16S	W25	eye	16S	2018-2019	140-O-3	140	220	3	Festien	C	C_140	SIDDEBUREN	Tarwe	Wheat	Sand	C_140	783.6273734	-1.236724614	-1.687777931	Low	Low	712.6934017	-1.48141397	-1.823252482	776.1504472	-2.415264765	-3.007085733
S189.140.O.1.16S_000000000.J52V7	2019_C_140	189-140-O-1-16S	189	eye	16S	2018-2019	140-O-1	140	220	1	Festien	C	C_140	SIDDEBUREN	Tarwe	Wheat	Sand	C_140	783.6273734	-1.236724614	-1.687777931	Low	Low	712.6934017	-1.48141397	-1.823252482	776.1504472	-2.415264765	-3.007085733
S51.140.O.2.16S_000000000.J53BN	2019_C_140	51-140-O-2-16S	51	eye	16S	2018-2019	140-O-2	140	220	2	Festien	C	C_140	SIDDEBUREN	Tarwe	Wheat	Sand	C_140	783.6273734	-1.236724614	-1.687777931	Low	Low	712.6934017	-1.48141397	-1.823252482	776.1504472	-2.415264765	-3.007085733
S75.140.O.4.16S_000000000.J53BN	2019_C_140	75-140-O-4-16S	75	eye	16S	2018-2019	140-O-4	140	220	4	Festien	C	C_140	SIDDEBUREN	Tarwe	Wheat	Sand	C_140	783.6273734	-1.236724614	-1.687777931	Low	Low	712.6934017	-1.48141397	-1.823252482	776.1504472	-2.415264765	-3.007085733
S162.143.O.3.16S_000000000.J52V7	2019_C_143	162-143-O-3-16S	162	eye	16S	2018-2019	143-O-3	143	223	3	Festien	C	C_143	ELDERSLOO	NA	Unknown	Sand	C_143	1342.359152	1.456365962	0.343273645	High	High	982.971343	0.466877139	-0.808256163	1107.111262	0.654079725	0.036008227
S54.143.O.4.16S_000000000.J53BN	2019_C_143	54-143-O-4-16S	54	eye	16S	2018-2019	143-O-4	143	223	4	Festien	C	C_143	ELDERSLOO	NA	Unknown	Sand	C_143	1342.359152	1.456365962	0.343273645	High	High	982.971343	0.466877139	-0.808256163	1107.111262	0.654079725	0.036008227
S82.143.O.1.16S_000000000.J53BN	2019_C_143	82-143-O-1-16S	82	eye	16S	2018-2019	143-O-1	143	223	1	Festien	C	C_143	ELDERSLOO	NA	Unknown	Sand	C_143	1342.359152	1.456365962	0.343273645	High	High	982.971343	0.466877139	-0.808256163	1107.111262	0.654079725	0.036008227
S92.143.O.2.16S_000000000.J53BN	2019_C_143	92-143-O-2-16S	92	eye	16S	2018-2019	143-O-2	143	223	2	Festien	C	C_143	ELDERSLOO	NA	Unknown	Sand	C_143	1342.359152	1.456365962	0.343273645	High	High	982.971343	0.466877139	-0.808256163	1107.111262	0.654079725	0.036008227
S1.167.O.1.16S_000000000.J59B3	2019_C_167	1-167-O-1-16S	1	eye	16S	2018-2019	167-O-1	167	247	1	Festien	C	C_167	AMEN	NA	Unknown	Sand	C_167	1325.324136	1.37425708	0.281349484	High	High	1076.066854	1.137953572	-0.458647161	1128.316391	0.850736984	0.230983578
S120.167.O.4.16S_000000000.J58CV	2019_C_167	120-167-O-4-16S	120	eye	16S	2018-2019	167-O-4	167	247	4	Festien	C	C_167	AMEN	NA	Unknown	Sand	C_167	1325.324136	1.37425708	0.281349484	High	High	1076.066854	1.137953572	-0.458647161	1128.316391	0.850736984	0.230983578
S134.167.O.3.16S_000000000.J58CV	2019_C_167	134-167-O-3-16S	134	eye	16S	2018-2019	167-O-3	167	247	3	Festien	C	C_167	AMEN	NA	Unknown	Sand	C_167	1325.324136	1.37425708	0.281349484	High	High	1076.066854	1.137953572	-0.458647161	1128.316391	0.850736984	0.230983578
S96.167.O.2.16S_000000000.J53BN	2019_C_167	96-167-O-2-16S	96	eye	16S	2018-2019	167-O-2	167	247	2	Festien	C	C_167	AMEN	NA	Unknown	Sand	C_167	1325.324136	1.37425708	0.281349484	High	High	1076.066854	1.137953572	-0.458647161	1128.316391	0.850736984	0.230983578
X11.169.1.O.16S_000000000.J99GR	2019_C_169	11_169_1_O_16S	W11	eye	16S	2018-2019	169-O-1	169	249	1	Festien	C	C_169	WIJSTER	Grasland	Grass	Sand	C_169	1448.513089	1.968028584	0.729154901	High	High	1221.444877	2.185907054	0.087302529	1202.951483	1.542905959	0.917232786
X29.169.3.O.16S_000000000.J99GR	2019_C_169	29_169_3_O_16S	W29	eye	16S	2018-2019	169-O-3	169	249	3	Festien	C	C_169	WIJSTER	Grasland	Grass	Sand	C_169	1448.513089	1.968028584	0.729154901	High	High	1221.444877	2.185907054	0.087302529	1202.951483	1.542905959	0.917232786
X41.169.4.O.16S_000000000.J99GR	2019_C_169	41_169_4_O_16S	W41	eye	16S	2018-2019	169-O-4	169	249	4	Festien	C	C_169	WIJSTER	Grasland	Grass	Sand	C_169	1448.513089	1.968028584	0.729154901	High	High	1221.444877	2.185907054	0.087302529	1202.951483	1.542905959	0.917232786
X52.169.2.O.16S_000000000.JCCFG	2019_C_169	52-169-2-O-16S	X52	eye	16S	2018-2019	169-O-2	169	249	2	Festien	C	C_169	WIJSTER	Grasland	Grass	Sand	C_169	1448.513089	1.968028584	0.729154901	High	High	1221.444877	2.185907054	0.087302529	1202.951483	1.542905959	0.917232786
X10.183.3.O.16S_000000000.J99GR	2019_C_170	10_183_3_O_16S	W10	eye	16S	2018-2019	183-O-3	170	250	3	Festien	C	C_170	WESTHOEK	NA	Unknown	Clay	C_170	993.6235581	-0.224541725	-0.924418663	Middle	Middle	855.4861411	-0.452096434	-1.287011514	989.5079124	-0.436578675	-1.04532233
X19.183.1.O.16S_000000000.J99GR	2019_C_170	19_183_1_O_16S	W19	eye	16S	2018-2019	183-O-1	170	250	1	Festien	C	C_170	WESTHOEK	NA	Unknown	Clay	C_170	993.6235581	-0.224541725	-0.924418663	Middle	Middle	855.4861411	-0.452096434	-1.287011514	989.5079124	-0.436578675	-1.04532233
X31.183.4.O.16S_000000000.J99GR	2019_C_170	31_183_4_O_16S	W31	eye	16S	2018-2019	183-O-4	170	250	4	Festien	C	C_170	WESTHOEK	NA	Unknown	Clay	C_170	993.6235581	-0.224541725	-0.924418663	Middle	Middle	855.4861411	-0.452096434	-1.287011514	989.5079124	-0.436578675	-1.04532233
X5.183.2.O.16S_000000000.J99GR	2019_C_170	5_183_2_O_16S	W5	eye	16S	2018-2019	183-O-2	170	250	2	Festien	C	C_170	WESTHOEK	NA	Unknown	Clay	C_170	993.6235581	-0.224541725	-0.924418663	Middle	Middle	855.4861411	-0.452096434	-1.287011514	989.5079124	-0.436578675	-1.04532233
S127.178.O.3.16S_000000000.J58CV	2019_C_178	127-178-O-3-16S	127	eye	16S	2018-2019	178-O-3	178	258	3	Festien	C	C_178	LUTTELGEEST	NA	Unknown	Clay	C_178	685.5007509	-1.709695532	-2.044479015	Low	Low	709.9635372	-1.501092124	-1.83350416	888.2051056	-1.376065158	-1.976773868
S15.178.O.2.16S_000000000.J59B3	2019_C_178	15-178-O-2-16S	15	eye	16S	2018-2019	178-O-2	178	258	2	Festien	C	C_178	LUTTELGEEST	NA	Unknown	Clay	C_178	685.5007509	-1.709695532	-2.044479015	Low	Low	709.9635372	-1.501092124	-1.83350416	888.2051056	-1.376065158	-1.976773868
S69.178.O.4.16S_000000000.J53BN	2019_C_178	69-178-O-4-16S	69	eye	16S	2018-2019	178-O-4	178	258	4	Festien	C	C_178	LUTTELGEEST	NA	Unknown	Clay	C_178	685.5007509	-1.709695532	-2.044479015	Low	Low	709.9635372	-1.501092124	-1.83350416	888.2051056	-1.376065158	-1.976773868
S90.178.O.1.16S_000000000.J53BN	2019_C_178	90-178-O-1-16S	90	eye	16S	2018-2019	178-O-1	178	258	1	Festien	C	C_178	LUTTELGEEST	NA	Unknown	Clay	C_178	685.5007509	-1.709695532	-2.044479015	Low	Low	709.9635372	-1.501092124	-1.83350416	888.2051056	-1.376065158	-1.976773868
S148.157.O.4.16S_000000000.J52V7	2019_C_179	148-157-O-4-16S	148	eye	16S	2018-2019	179-O-4	179	259	4	Festien	C	C_179	RUTTEN	NA	Unknown	Clay	C_179	661.485916	-1.825447183	-2.131775586	Low	Low	682.4124352	-1.699693485	-1.936969012	861.6477892	-1.622358826	-2.220961111
S156.157.O.3.16S_000000000.J52V7	2019_C_179	156-157-O-3-16S	156	eye	16S	2018-2019	179-O-3	179	259	3	Festien	C	C_179	RUTTEN	NA	Unknown	Clay	C_179	661.485916	-1.825447183	-2.131775586	Low	Low	682.4124352	-1.699693485	-1.936969012	861.6477892	-1.622358826	-2.220961111
S191.157.O.2.16S_000000000.J52V7	2019_C_179	191-157-O-2-16S	191	eye	16S	2018-2019	179-O-2	179	259	2	Festien	C	C_179	RUTTEN	NA	Unknown	Clay	C_179	661.485916	-1.825447183	-2.131775586	Low	Low	682.4124352	-1.699693485	-1.936969012	861.6477892	-1.622358826	-2.220961111
S87.157.O.1.16S_000000000.J53BN	2019_C_179	87-157-O-1-16S	87	eye	16S	2018-2019	179-O-1	179	259	1	Festien	C	C_179	RUTTEN	NA	Unknown	Clay	C_179	661.485916	-1.825447183	-2.131775586	Low	Low	682.4124352	-1.699693485	-1.936969012	861.6477892	-1.622358826	-2.220961111
S135.180.O.2.16S_000000000.J58CV	2019_C_180	135-180-O-2-16S	135	eye	16S	2018-2019	180-O-2	180	260	2	Festien	C	C_180	RUTTEN	NA	Unknown	Sand	C_180	867.1431889	-0.834177875	-1.38418874	Low	Middle	898.6619774	-0.140864605	-1.124869851	1040.932279	0.040333064	-0.572489373
S84.180.O.4.16S_000000000.J53BN	2019_C_180	84-180-O-4-16S	84	eye	16S	2018-2019	180-O-4	180	260	4	Festien	C	C_180	RUTTEN	NA	Unknown	Sand	C_180	867.1431889	-0.834177875	-1.38418874	Low	Middle	898.6619774	-0.140864605	-1.124869851	1040.932279	0.040333064	-0.572489373
S9.180.O.1.16S_000000000.J59B3	2019_C_180	9-180-O-1-16S	9	eye	16S	2018-2019	180-O-1	180	260	1	Festien	C	C_180	RUTTEN	NA	Unknown	Sand	C_180	867.1431889	-0.834177875	-1.38418874	Low	Middle	898.6619774	-0.140864605	-1.124869851	1040.932279	0.040333064	-0.572489373
X24.63.3.O.16S_000000000.J99GR	2019_D_63	24_63_3_O_16S	W24	eye	16S	2018-2019	63-O-3	63	63	3	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
S76.63.O.1.16S_000000000.J53BN	2019_D_63	76-63-O-1-16S	76	eye	16S	2018-2019	63-O-1	63	63	1	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
S34.63.O.4.16S_000000000.J59B3	2019_D_63	34-63-O-4-16S	34	eye	16S	2018-2019	63-O-4	63	63	4	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
S57.63.O.2.16S_000000000.J53BN	2019_D_63	57-63-O-2-16S	57	eye	16S	2018-2019	63-O-2	63	63	2	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
S136.65.O.3.16S_000000000.J58CV	2019_D_65	136-65-O-3-16S	136	eye	16S	2018-2019	65-O-3	65	65	3	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
S144.65.O.2.16S_000000000.J58CV	2019_D_65	144-65-O-2-16S	144	eye	16S	2018-2019	65-O-2	65	65	2	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
S147.65.O.4.16S_000000000.J52V7	2019_D_65	147-65-O-4-16S	147	eye	16S	2018-2019	65-O-4	65	65	4	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
S155.65.O.1.16S_000000000.J52V7	2019_D_65	155-65-O-1-16S	155	eye	16S	2018-2019	65-O-1	65	65	1	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
X17.75.2.O.16S_000000000.J99GR	2019_D_75	17_75_2_O_16S	W17	eye	16S	2018-2019	75-O-2	75	75	2	Innovator	D	D_75	TOLLEBEEK	Witlof	Chicory	Clay	D_75	1186.267223	0.381187902	-0.224137718	Middle	Middle	1560.714789	1.427247641	1.361389899	1194.701147	1.157602798	0.84137321
S186.75.O.1.16S_000000000.J52V7	2019_D_75	186-75-O-1-16S	186	eye	16S	2018-2019	75-O-1	75	75	1	Innovator	D	D_75	TOLLEBEEK	Witlof	Chicory	Clay	D_75	1186.267223	0.381187902	-0.224137718	Middle	Middle	1560.714789	1.427247641	1.361389899	1194.701147	1.157602798	0.84137321
S107.75.O.3.16S_000000000.J58CV	2019_D_75	107-75-O-3-16S	107	eye	16S	2018-2019	75-O-3	75	75	3	Innovator	D	D_75	TOLLEBEEK	Witlof	Chicory	Clay	D_75	1186.267223	0.381187902	-0.224137718	Middle	Middle	1560.714789	1.427247641	1.361389899	1194.701147	1.157602798	0.84137321
S179.75.O.4.16S_000000000.J52V7	2019_D_75	179-75-O-4-16S	179	eye	16S	2018-2019	75-O-4	75	75	4	Innovator	D	D_75	TOLLEBEEK	Witlof	Chicory	Clay	D_75	1186.267223	0.381187902	-0.224137718	Middle	Middle	1560.714789	1.427247641	1.361389899	1194.701147	1.157602798	0.84137321
S102.76.O.4.16S_000000000.J58CV	2019_D_76	102-76-O-4-16S	102	eye	16S	2018-2019	76-O-4	76	76	4	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
S104.76.O.3.16S_000000000.J58CV	2019_D_76	104-76-O-3-16S	104	eye	16S	2018-2019	76-O-3	76	76	3	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
S106.76.O.2.16S_000000000.J58CV	2019_D_76	106-76-O-2-16S	106	eye	16S	2018-2019	76-O-2	76	76	2	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
S35.76.O.1.16S_000000000.J59B3	2019_D_76	35-76-O-1-16S	35	eye	16S	2018-2019	76-O-1	76	76	1	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
S177.77.O.3.16S_000000000.J52V7	2019_D_77	177-77-O-3-16S	177	eye	16S	2018-2019	77-O-3	77	77	3	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
S2.77.O.2.16S_000000000.J59B3	2019_D_77	2-77-O-2-16S	2	eye	16S	2018-2019	77-O-2	77	77	2	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
S71.77.O.4.16S_000000000.J53BN	2019_D_77	71-77-O-4-16S	71	eye	16S	2018-2019	77-O-4	77	77	4	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
S8.77.O.1.16S_000000000.J59B3	2019_D_77	8-77-O-1-16S	8	eye	16S	2018-2019	77-O-1	77	77	1	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
S126.76.O.3.16S_000000000.J58CV	2019_D_79	126-76-O-3-16S	126	eye	16S	2018-2019	79-O-4	79	79	4	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
S132.76.O.4.16S_000000000.J58CV	2019_D_79	132-76-O-4-16S	132	eye	16S	2018-2019	79-O-3	79	79	3	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
S151.76.O.2.16S_000000000.J52V7	2019_D_79	151-76-O-2-16S	151	eye	16S	2018-2019	79-O-2	79	79	2	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
S80.76.O.1.16S_000000000.J53BN	2019_D_79	80-76-O-1-16S	80	eye	16S	2018-2019	79-O-1	79	79	1	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
S110.80.O.1.16S_000000000.J58CV	2019_D_80	110-80-O-1-16S	110	eye	16S	2018-2019	80-O-1	80	80	1	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
S16.80.O.4.16S_000000000.J59B3	2019_D_80	16-80-O-4-16S	16	eye	16S	2018-2019	80-O-4	80	80	4	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
S49.80.O.2.16S_000000000.J53BN	2019_D_80	49-80-O-2-16S	49	eye	16S	2018-2019	80-O-2	80	80	2	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
S88.80.O.3.16S_000000000.J53BN	2019_D_80	88-80-O-3-16S	88	eye	16S	2018-2019	80-O-3	80	80	3	Innovator	D	D_80	LUTTELGEEST	NA	Unknown	Clay	D_80	1152.538953	0.100208072	-0.346743692	Middle	Middle	1462.078919	0.533596861	0.990974749	1268.093775	2.094549188	1.516198301
X28.86.2.O.16S_000000000.J99GR	2019_D_86	28_86_2_O_16S	W28	eye	16S	2018-2019	86-O-2	86	86	2	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
S93.86.O.4.16S_000000000.J53BN	2019_D_86	93-86-O-4-16S	93	eye	16S	2018-2019	86-O-4	86	86	4	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
S139.86.O.1.16S_000000000.J58CV	2019_D_86	139-86-O-1-16S	139	eye	16S	2018-2019	86-O-1	86	86	1	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
S20.86.O.3.16S_000000000.J59B3	2019_D_86	20-86-O-3-16S	20	eye	16S	2018-2019	86-O-3	86	86	3	Innovator	D	D_86	WESTHOEK	Graszaad tweejarig	Grass	Clay	D_86	1329.347051	1.573141918	0.295973224	High	High	1547.638091	1.308771457	1.312281932	1113.559647	0.121732604	0.095299363
X40.88.4.O.16S_000000000.J99GR	2019_D_88	40_88_4_O_16S	W40	eye	16S	2018-2019	88-O-4	88	88	4	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
S67.88.O.2.16S_000000000.J53BN	2019_D_88	67-88-O-2-16S	67	eye	16S	2018-2019	88-O-2	88	88	2	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
S152.88.O.3.16S_000000000.J52V7	2019_D_88	152-88-O-3-16S	152	eye	16S	2018-2019	88-O-3	88	88	3	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
S190.88.O.1.16S_000000000.J52V7	2019_D_88	190-88-O-1-16S	190	eye	16S	2018-2019	88-O-1	88	88	1	Innovator	D	D_88	LUTTELGEEST	Bieten	Sugar beet	Clay	D_88	1354.034032	1.778801556	0.385713119	High	High	1620.485797	1.968778917	1.585852737	1197.299482	1.190773715	0.86526419
