SampleID	Year_Plot	SampleName	SampleNo	SampleType	LibraryType	Year	TubeName	Seedlot	OriginalNo	RepNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
S3.23.O.1.16S_000000000.J59B3	2019_A_23	3-23-O-1-16S	3	eye	16S	2018-2019	23-O-1	23	23	1	Challenger	A	A_23	STAVENISSE	Wintertarwe	Wheat	Clay	A_23	862.6269682	-0.66643814	-1.4006057	Low	Middle	794.2676835	-1.310627981	-1.516910073	934.632314	-1.608604111	-1.549888413
S36.23.O.3.16S_000000000.J59B3	2019_A_23	36-23-O-3-16S	36	eye	16S	2018-2019	23-O-3	23	23	3	Challenger	A	A_23	STAVENISSE	Wintertarwe	Wheat	Clay	A_23	862.6269682	-0.66643814	-1.4006057	Low	Middle	794.2676835	-1.310627981	-1.516910073	934.632314	-1.608604111	-1.549888413
X7.26.2.O.16S_000000000.J99GR	2019_A_26	7_26_2_O_16S	W7	eye	16S	2018-2019	26-O-2	26	26	2	Challenger	A	A_26	Brantgum	Grasland	Grass	Clay	A_26	780.2695123	-1.404878598	-1.699984126	Low	Low	822.2669644	-0.969396263	-1.411762139	973.400548	-0.857760114	-1.193425131
S116.26.O.1.16S_000000000.J58CV	2019_A_26	116-26-O-1-16S	116	eye	16S	2018-2019	26-O-1	26	26	1	Challenger	A	A_26	Brantgum	Grasland	Grass	Clay	A_26	780.2695123	-1.404878598	-1.699984126	Low	Low	822.2669644	-0.969396263	-1.411762139	973.400548	-0.857760114	-1.193425131
S59.26.O.4.16S_000000000.J53BN	2019_A_26	59-26-O-4-16S	59	eye	16S	2018-2019	26-O-4	26	26	4	Challenger	A	A_26	Brantgum	Grasland	Grass	Clay	A_26	780.2695123	-1.404878598	-1.699984126	Low	Low	822.2669644	-0.969396263	-1.411762139	973.400548	-0.857760114	-1.193425131
S85.26.O.3.16S_000000000.J53BN	2019_A_26	85-26-O-3-16S	85	eye	16S	2018-2019	26-O-3	26	26	3	Challenger	A	A_26	Brantgum	Grasland	Grass	Clay	A_26	780.2695123	-1.404878598	-1.699984126	Low	Low	822.2669644	-0.969396263	-1.411762139	973.400548	-0.857760114	-1.193425131
S31.28.O.3.16S_000000000.J59B3	2019_A_28	31-28-O-3-16S	31	eye	16S	2018-2019	28-O-3	28	28	3	Challenger	A	A_28	KLOOSTERBUREN	3 jarig gras	Grass	Clay	A_28	1104.501325	1.502276385	-0.521365763	High	High	968.0064375	0.806754022	-0.864455066	1092.050995	1.440203109	-0.102466799
S65.28.O.2.16S_000000000.J53BN	2019_A_28	65-28-O-2-16S	65	eye	16S	2018-2019	28-O-2	28	28	2	Challenger	A	A_28	KLOOSTERBUREN	3 jarig gras	Grass	Clay	A_28	1104.501325	1.502276385	-0.521365763	High	High	968.0064375	0.806754022	-0.864455066	1092.050995	1.440203109	-0.102466799
S70.28.O.1.16S_000000000.J53BN	2019_A_28	70-28-O-1-16S	70	eye	16S	2018-2019	28-O-1	28	28	1	Challenger	A	A_28	KLOOSTERBUREN	3 jarig gras	Grass	Clay	A_28	1104.501325	1.502276385	-0.521365763	High	High	968.0064375	0.806754022	-0.864455066	1092.050995	1.440203109	-0.102466799
S91.28.O.4.16S_000000000.J53BN	2019_A_28	91-28-O-4-16S	91	eye	16S	2018-2019	28-O-4	28	28	4	Challenger	A	A_28	KLOOSTERBUREN	3 jarig gras	Grass	Clay	A_28	1104.501325	1.502276385	-0.521365763	High	High	968.0064375	0.806754022	-0.864455066	1092.050995	1.440203109	-0.102466799
