SampleID	Year_Plot	SampleName	LocationPlateDNAiso	SampleNoRand	Year	Compartment	LibraryType	PlateX	SampleName2	RunNo	Runcode	Replica	Seedlot	OriginalNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
Heel2018.19.2.H.16S_000000000.JMHR7	2019_A_19	Heel2018-19-2-H-16S	B11	735	2018-2019	Heel	16S	C	19-2-H	SON5821	JMHR7	2	19	19	Challenger	A	A_19	Pingjum	Grasland	Grass	Clay	A_19	1114.520058	1.592107204	-0.484946565	High	High	986.2982458	1.029679218	-0.795762379	1045.952828	0.547396585	-0.526326809
X7.19.3.H.16S_000000000.JC8YT	2019_A_19	7-19-3-H-16S	A7	7	2018-2019	Heel	16S	A	19-3-H	SON5064	JC8YT	3	19	19	Challenger	A	A_19	Pingjum	Grasland	Grass	Clay	A_19	1114.520058	1.592107204	-0.484946565	High	High	986.2982458	1.029679218	-0.795762379	1045.952828	0.547396585	-0.526326809
X164.2.3.H.16S_000000000.J9RYW	2019_A_2	164-2-3-H-16S	F8	164	2018-2019	Heel	16S	B	2-3-H	SON5195	J9RYW	3	2	2	Challenger	A	A_2	BRITSUM	Grasland	Grass	Clay	A_2	850.3459736	-0.776553044	-1.445248468	Low	Middle	1010.989858	1.330599844	-0.703035998	1040.427685	0.440388362	-0.577128977
Heel2018.2.1.H.16S_000000000.JMHR7	2019_A_2	Heel2018-2-1-H-16S	C2	738	2018-2019	Heel	16S	C	2-1-H	SON5821	JMHR7	1	2	2	Challenger	A	A_2	BRITSUM	Grasland	Grass	Clay	A_2	850.3459736	-0.776553044	-1.445248468	Low	Middle	1010.989858	1.330599844	-0.703035998	1040.427685	0.440388362	-0.577128977
X144.2.4.H.16S_000000000.JCG3L	2019_A_2	144-2-4-H-16S	D12	144	2018-2019	Heel	16S	B	2-4-H	SON5194	JCG3L	4	2	2	Challenger	A	A_2	BRITSUM	Grasland	Grass	Clay	A_2	850.3459736	-0.776553044	-1.445248468	Low	Middle	1010.989858	1.330599844	-0.703035998	1040.427685	0.440388362	-0.577128977
X188.2.2.H.16S_000000000.J9RYW	2019_A_2	188-2-2-H-16S	H8	188	2018-2019	Heel	16S	B	2-2-H	SON5195	J9RYW	2	2	2	Challenger	A	A_2	BRITSUM	Grasland	Grass	Clay	A_2	850.3459736	-0.776553044	-1.445248468	Low	Middle	1010.989858	1.330599844	-0.703035998	1040.427685	0.440388362	-0.577128977
Heel2018.23.2.H.16S_000000000.JMHR7	2019_A_23	Heel2018-23-2-H-16S	A2	714	2018-2019	Heel	16S	C	23-2-H	SON5821	JMHR7	2	23	23	Challenger	A	A_23	STAVENISSE	Wintertarwe	Wheat	Clay	A_23	862.6269682	-0.66643814	-1.4006057	Low	Middle	794.2676835	-1.310627981	-1.516910073	934.632314	-1.608604111	-1.549888413
X74.23.4.H.16S_000000000.JCHFT	2019_A_23	74-23-4-H-16S	G2	74	2018-2019	Heel	16S	A	23-4-H	SON5193	JCHFT	4	23	23	Challenger	A	A_23	STAVENISSE	Wintertarwe	Wheat	Clay	A_23	862.6269682	-0.66643814	-1.4006057	Low	Middle	794.2676835	-1.310627981	-1.516910073	934.632314	-1.608604111	-1.549888413
X172.23.3.H.16S_000000000.J9RYW	2019_A_23	172-23-3-H-16S	G4	172	2018-2019	Heel	16S	B	23-3-H	SON5195	J9RYW	3	23	23	Challenger	A	A_23	STAVENISSE	Wintertarwe	Wheat	Clay	A_23	862.6269682	-0.66643814	-1.4006057	Low	Middle	794.2676835	-1.310627981	-1.516910073	934.632314	-1.608604111	-1.549888413
X136.23.1.H.16S_000000000.JCG3L	2019_A_23	136-23-1-H-16S	D4	136	2018-2019	Heel	16S	B	23-1-H	SON5194	JCG3L	1	23	23	Challenger	A	A_23	STAVENISSE	Wintertarwe	Wheat	Clay	A_23	862.6269682	-0.66643814	-1.4006057	Low	Middle	794.2676835	-1.310627981	-1.516910073	934.632314	-1.608604111	-1.549888413
