SampleID	Year_Plot	SampleName	LocationPlateDNAiso	SampleNoRand	Year	Compartment	LibraryType	PlateX	SampleName2	RunNo	Runcode	Replica	Seedlot	OriginalNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
X171.180.2.H.16S_000000000.J9RYW	2019_C_180	171-180-2-H-16S	G3	171	2018-2019	Heel	16S	B	180-2-H	SON5195	J9RYW	2	180	260	Festien	C	C_180	RUTTEN	NA	Unknown	Sand	C_180	867.1431889	-0.834177875	-1.38418874	Low	Middle	898.6619774	-0.140864605	-1.124869851	1040.932279	0.040333064	-0.572489373
X35.180.4.H.16S_000000000.JC8YT	2019_C_180	35-180-4-H-16S	C11	35	2018-2019	Heel	16S	A	180-4-H	SON5064	JC8YT	4	180	260	Festien	C	C_180	RUTTEN	NA	Unknown	Sand	C_180	867.1431889	-0.834177875	-1.38418874	Low	Middle	898.6619774	-0.140864605	-1.124869851	1040.932279	0.040333064	-0.572489373
X106.180.1.H.16S_000000000.JCG3L	2019_C_180	106-180-1-H-16S	A10	106	2018-2019	Heel	16S	B	180-1-H	SON5194	JCG3L	1	180	260	Festien	C	C_180	RUTTEN	NA	Unknown	Sand	C_180	867.1431889	-0.834177875	-1.38418874	Low	Middle	898.6619774	-0.140864605	-1.124869851	1040.932279	0.040333064	-0.572489373
X170.180.3.H.16S_000000000.J9RYW	2019_C_180	170-180-3-H-16S	G2	170	2018-2019	Heel	16S	B	180-3-H	SON5195	J9RYW	3	180	260	Festien	C	C_180	RUTTEN	NA	Unknown	Sand	C_180	867.1431889	-0.834177875	-1.38418874	Low	Middle	898.6619774	-0.140864605	-1.124869851	1040.932279	0.040333064	-0.572489373
Heel2018.63.3.H.16S_000000000.JMHR7	2019_D_63	Heel2018-63-3-H-16S	C1	737	2018-2019	Heel	16S	C	63-3-H	SON5821	JMHR7	3	63	63	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
X130.63.4.H.16S_000000000.JCG3L	2019_D_63	130-63-4-H-16S	C10	130	2018-2019	Heel	16S	B	63-4-H	SON5194	JCG3L	4	63	63	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
X109.63.1.H.16S_000000000.JCG3L	2019_D_63	109-63-1-H-16S	B1	109	2018-2019	Heel	16S	B	63-1-H	SON5194	JCG3L	1	63	63	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
X140.63.2.H.16S_000000000.JCG3L	2019_D_63	140-63-2-H-16S	D8	140	2018-2019	Heel	16S	B	63-2-H	SON5194	JCG3L	2	63	63	Innovator	D	D_63	FERWERT	Brouwgerst en gras	Barley	Clay	D_63	1015.774864	-1.039131465	-0.843896227	Low	Low	1375.18535	-0.253667515	0.664656394	936.3435031	-2.140647582	-1.5341545
X98.65.3.H.16S_000000000.JCG3L	2019_D_65	98-65-3-H-16S	A2	98	2018-2019	Heel	16S	B	65-3-H	SON5194	JCG3L	3	65	65	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
X139.65.1.H.16S_000000000.JCG3L	2019_D_65	139-65-1-H-16S	D7	139	2018-2019	Heel	16S	B	65-1-H	SON5194	JCG3L	1	65	65	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
X145.65.4.H.16S_000000000.J9RYW	2019_D_65	145-65-4-H-16S	E1	145	2018-2019	Heel	16S	B	65-4-H	SON5195	J9RYW	4	65	65	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
X9.65.2.H.16S_000000000.JC8YT	2019_D_65	9-65-2-H-16S	A9	9	2018-2019	Heel	16S	A	65-2-H	SON5064	JC8YT	2	65	65	Innovator	D	D_65	ANNA PAULOWNA	Suikerbieten	Sugar beet	Clay	D_65	890.9095923	-2.079345609	-1.297795245	Low	Low	1225.931314	-1.605923921	0.104150802	966.5089999	-1.755548229	-1.256791026
X84.75.3.H.16S_000000000.JCHFT	2019_D_75	84-75-3-H-16S	G12	84	2018-2019	Heel	16S	A	75-3-H	SON5193	JCHFT	3	75	75	Innovator	D	D_75	TOLLEBEEK	Witlof	Chicory	Clay	D_75	1186.267223	0.381187902	-0.224137718	Middle	Middle	1560.714789	1.427247641	1.361389899	1194.701147	1.157602798	0.84137321
X6.75.4.H.16S_000000000.JC8YT	2019_D_75	6-75-4-H-16S	A6	6	2018-2019	Heel	16S	A	75-4-H	SON5064	JC8YT	4	75	75	Innovator	D	D_75	TOLLEBEEK	Witlof	Chicory	Clay	D_75	1186.267223	0.381187902	-0.224137718	Middle	Middle	1560.714789	1.427247641	1.361389899	1194.701147	1.157602798	0.84137321
X57.76.1.H.16S_000000000.JCHFT	2019_D_76	57-76-1-H-16S	E9	57	2018-2019	Heel	16S	A	76-1-H	SON5193	JCHFT	1	76	76	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
X3.76.3.H.16S_000000000.JC8YT	2019_D_76	3-76-3-H-16S	A3	3	2018-2019	Heel	16S	A	76-3-H	SON5064	JC8YT	3	76	76	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
X120.76.2.H.16S_000000000.JCG3L	2019_D_76	120-76-2-H-16S	B12	120	2018-2019	Heel	16S	B	76-2-H	SON5194	JCG3L	2	76	76	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
X117.76.4.H.16S_000000000.JCG3L	2019_D_76	117-76-4-H-16S	B9	117	2018-2019	Heel	16S	B	76-4-H	SON5194	JCG3L	4	76	76	Innovator	D	D_76	WIJNALDUM	Tarwe	Wheat	Clay	D_76	1239.487417	0.82454896	-0.030676448	High	Middle	1449.04719	0.415528097	0.942035656	1147.189328	0.551056493	0.404515062
X153.77.1.H.16S_000000000.J9RYW	2019_D_77	153-77-1-H-16S	E9	153	2018-2019	Heel	16S	B	77-1-H	SON5195	J9RYW	1	77	77	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
X105.77.4.H.16S_000000000.JCG3L	2019_D_77	105-77-4-H-16S	A9	105	2018-2019	Heel	16S	B	77-4-H	SON5194	JCG3L	4	77	77	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
Heel2018.77.3.H.16S_000000000.JMHR7	2019_D_77	Heel2018-77-3-H-16S	A5	717	2018-2019	Heel	16S	C	77-3-H	SON5821	JMHR7	3	77	77	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
X40.77.2.H.16S_000000000.JC8YT	2019_D_77	40-77-2-H-16S	D4	40	2018-2019	Heel	16S	A	77-2-H	SON5064	JC8YT	2	77	77	Innovator	D	D_77	Pietersbierum	Suikerbieten	Sugar beet	Clay	D_77	1357.248558	1.805580785	0.397398276	High	High	1507.827164	0.948080503	1.162776782	1227.987003	1.582537334	1.147427527
X100.79.1.H.16S_000000000.JCG3L	2019_D_79	100-79-1-H-16S	A4	100	2018-2019	Heel	16S	B	79-1-H	SON5194	JCG3L	1	79	79	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
X190.79.3.H.16S_000000000.J9RYW	2019_D_79	190-79-3-H-16S	H10	190	2018-2019	Heel	16S	B	79-3-H	SON5195	J9RYW	3	79	79	Innovator	D	D_79	MARKNESSE	Wintertarwe	Wheat	Clay	D_79	1097.611556	-0.357375167	-0.546410832	Middle	Middle	1407.796967	0.041796981	0.787125404	1068.914138	-0.448221768	-0.315203858
