#Feature ID	Taxon	Confidence
7c48c6d59d5b426fc5844e438214b294	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae	0.752712563629131
9573041f20d73216c275fd0443ee139f	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7012367026470421
6738307a145f8ef4bfb9e85a7df39419	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	0.9999926748275871
9a542b272b5a0f68c93d0e593a74fcf0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_macrodidyma	0.9988837840112506
250ba61d250b41b5fd892af37ad417d4	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_polychromum	0.9724657810179265
233532acba5398456710f22a23fd0553	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9770540654501674
6a07b05c749623584cd5af37ce50cda3	k__Viridiplantae	0.833311958391186
598ddb78b0a6f467945b69fb23651ad1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus;s__Thanatephorus_cucumeris	0.9309332652668307
183387e6b8061af0e7c0f6ca5b9a0b5d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_infectoria	0.994853594752318
b6fb0bc936af3cc06818726b46c169a1	k__Viridiplantae	0.906084570327107
5c44826197d3af08f26d19f666e550cc	k__unidentified;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7060086253227487
744264f446be7cfef54102f50345af8d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_neocosmosporiellum	0.737631968298408
3c2900361a5db3f8fd15e7a5239d323e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.9999977950235471
9a071fbadd8326a30c721766cf8f90b6	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Volutella	0.925060919925994
3709933a0a23fe6744d6fcefbb68c47b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium_vesicarium	0.9494006134780525
