SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,Variety,Plot,SoilType,M_52,M_52_method2
S38.8.O.2.16S_000000000.J59B3,38-8-O-2-16S,38,eye,16S,2018-2019,8-O-2,8,8,2,A,A_8,Clay,669.6259613,-2.396940258
S64.8.O.1.16S_000000000.J53BN,64-8-O-1-16S,64,eye,16S,2018-2019,8-O-1,8,8,1,A,A_8,Clay,669.6259613,-2.396940258
S28.31.O.1.16S_000000000.J59B3,28-31-O-1-16S,28,eye,16S,2018-2019,31-O-1,31,31,1,B,B_31,Clay,1571.503755,-0.627749278
S56.31.O.3.16S_000000000.J53BN,56-31-O-3-16S,56,eye,16S,2018-2019,31-O-3,31,31,3,B,B_31,Clay,1571.503755,-0.627749278
S123.31.O.4.16S_000000000.J58CV,123-31-O-4-16S,123,eye,16S,2018-2019,31-O-4,31,31,4,B,B_31,Clay,1571.503755,-0.627749278
58.31.2.O.16S_000000000.JCCFG,58-31-2-O-16S,X58,eye,16S,2018-2019,31-O-2,31,31,2,B,B_31,Clay,1571.503755,-0.627749278
S48.34.O.4.16S_000000000.J59B3,48-34-O-4-16S,48,eye,16S,2018-2019,34-O-4,34,34,4,B,B_34,Clay,1634.77138,-0.016473538
S124.34.O.2.16S_000000000.J58CV,124-34-O-2-16S,124,eye,16S,2018-2019,34-O-2,34,34,2,B,B_34,Clay,1634.77138,-0.016473538
S167.34.O.1.16S_000000000.J52V7,167-34-O-1-16S,167,eye,16S,2018-2019,34-O-1,34,34,1,B,B_34,Clay,1634.77138,-0.016473538
15.34.3.O.16S_000000000.J99GR,15_34_3_O_16S,W15,eye,16S,2018-2019,34-O-3,34,34,3,B,B_34,Clay,1634.77138,-0.016473538
S4.38.O.2.16S_000000000.J59B3,4-38-O-2-16S,4,eye,16S,2018-2019,38-O-2,38,38,2,B,B_38,Clay,1588.621553,-0.462361452
S77.38.O.4.16S_000000000.J53BN,77-38-O-4-16S,77,eye,16S,2018-2019,38-O-4,38,38,4,B,B_38,Clay,1588.621553,-0.462361452
S131.38.O.1.16S_000000000.J58CV,131-38-O-1-16S,131,eye,16S,2018-2019,38-O-1,38,38,1,B,B_38,Clay,1588.621553,-0.462361452
48.38.3.O.16S_000000000.J99GR,48_38_3_O_16S,W48,eye,16S,2018-2019,38-O-3,38,38,3,B,B_38,Clay,1588.621553,-0.462361452
S50.47.O.1.16S_000000000.J53BN,50-47-O-1-16S,50,eye,16S,2018-2019,47-O-1,47,47,1,B,B_47,Clay,1552.852792,-0.80795015
S94.47.O.3.16S_000000000.J53BN,94-47-O-3-16S,94,eye,16S,2018-2019,47-O-3,47,47,3,B,B_47,Clay,1552.852792,-0.80795015
S172.47.O.2.16S_000000000.J52V7,172-47-O-2-16S,172,eye,16S,2018-2019,47-O-2,47,47,2,B,B_47,Clay,1552.852792,-0.80795015
37.47.4.O.16S_000000000.J99GR,37_47_4_O_16S,W37,eye,16S,2018-2019,47-O-4,47,47,4,B,B_47,Clay,1552.852792,-0.80795015
S119.50.O.2.16S_000000000.J58CV,119-50-O-2-16S,119,eye,16S,2018-2019,50-O-2,50,50,2,B,B_50,Clay,1835.583341,1.923720659
S130.50.O.1.16S_000000000.J58CV,130-50-O-1-16S,130,eye,16S,2018-2019,50-O-1,50,50,1,B,B_50,Clay,1835.583341,1.923720659
S145.50.O.4.16S_000000000.J52V7,145-50-O-4-16S,145,eye,16S,2018-2019,50-O-4,50,50,4,B,B_50,Clay,1835.583341,1.923720659
S165.50.O.3.16S_000000000.J52V7,165-50-O-3-16S,165,eye,16S,2018-2019,50-O-3,50,50,3,B,B_50,Clay,1835.583341,1.923720659
S13.51.O.1.16S_000000000.J59B3,13-51-O-1-16S,13,eye,16S,2018-2019,51-O-1,51,51,1,B,B_51,Clay,1510.819165,-1.214068386
