,Variety,Batch,47,47_method2,47_method1
0,CHALLENGER,1,564.257616833237,-1.598971264307663,-1.2515770595043687
1,CHALLENGER,10,682.267483070995,0.22258037799458796,-0.8642873542249652
2,CHALLENGER,11,779.668734530049,1.7260259390638473,-0.54463186122219
3,CHALLENGER,12,697.408300936023,0.4562878003237955,-0.8145975861099698
4,CHALLENGER,13,555.482235384791,-1.7344244344437967,-1.2803764726656013
5,CHALLENGER,14,612.55767926729,-0.8534314136582898,-1.0930638983473733
6,CHALLENGER,15,679.518947746536,0.18015511988856578,-0.8733076121889486
7,CHALLENGER,16,614.223716809824,-0.8277151450233794,-1.0875962267924169
8,CHALLENGER,17,680.113539199557,0.1893329884200584,-0.8713562571375143
9,CHALLENGER,18,706.334571354725,0.5940700303965059,-0.7853029792273697
10,CHALLENGER,19,660.437749851526,-0.11437438404903784,-0.9359290839754487
11,CHALLENGER,2,572.826968825392,-1.4666982799172978,-1.223453802413384
12,CHALLENGER,20,616.362733059051,-0.7946981720709606,-1.0805763139735858
13,CHALLENGER,21,560.740745485887,-1.653256240494521,-1.2631188747020623
14,CHALLENGER,22,625.211125700271,-0.6581180312641195,-1.0515372896320931
15,CHALLENGER,23,742.528627343989,1.1527465566116417,-0.6665198153798094
16,CHALLENGER,24,659.559387044747,-0.1279324302042788,-0.9388117317015331
17,CHALLENGER,25,632.074231520297,-0.5521819593379369,-1.0290136624551585
18,CHALLENGER,27,752.613082020872,1.3084060413990364,-0.633424231050913
19,CHALLENGER,28,760.559054950863,1.4310568035916926,-0.6073468053887718
20,CHALLENGER,29,763.888110427891,1.482442731436727,-0.5964213721545766
21,CHALLENGER,3,662.618751041226,-0.08070934886496971,-0.9287713832263338
22,CHALLENGER,30,754.344255765003,1.3351277255875362,-0.6277427927904784
23,CHALLENGER,4,613.160254251268,-0.844130314634383,-1.091086342610776
24,CHALLENGER,5,671.711601335372,0.05964413948777586,-0.8989300875547113
25,CHALLENGER,6,675.634897002098,0.12020251390846808,-0.8860544520597182
26,CHALLENGER,7,635.54997410445,-0.49853182978327626,-1.0176068253494233
27,CHALLENGER,8,676.258168342528,0.12982307335790358,-0.8840089741565578
28,CHALLENGER,9,759.665963138954,1.417271406585717,-0.6102777913787468
29,COLOMBA,31,1605.14423310462,1.344631960052758,2.1644480890440763
30,COLOMBA,32,1426.39219347464,0.03606671915237829,1.5778121834757244
31,COLOMBA,33,1580.02552429315,1.16074891561294,2.082012461899193
32,COLOMBA,34,1293.41827633339,-0.9373769756865757,1.1414128312747391
33,COLOMBA,35,1523.06839997658,0.7437908028183211,1.895088193671619
34,COLOMBA,36,1489.79793541163,0.5002323317182282,1.7858997942041723
35,COLOMBA,37,1559.47027953692,1.0102729889500532,2.0145534015902236
36,COLOMBA,38,1355.03185449289,-0.48633100768578197,1.3436188441052779
37,COLOMBA,39,1320.29570021584,-0.7406191499838635,1.2296202829562084
38,COLOMBA,40,1343.54960005105,-0.5703875537306186,1.3059359021573231
39,COLOMBA,41,1122.09256319654,-2.1915773392037172,0.5791489539996685
40,COLOMBA,42,1561.16540644907,1.0226822692063553,2.020116539852706
41,COLOMBA,43,1366.02539351883,-0.40585213273920423,1.3796978994001619
42,COLOMBA,44,1454.39868838748,0.24108997840166269,1.6697250675972088
43,COLOMBA,45,1391.3474355049,-0.22048057535623766,1.4628008338454845
44,COLOMBA,46,1459.38391620443,0.2775846435967247,1.6860857963526112
45,COLOMBA,47,1448.8851861625,0.20072804808651595,1.6516306258369944
46,COLOMBA,48,1474.26675996556,0.3865354117774936,1.7349289342844392
47,COLOMBA,49,1517.82364157908,0.7053962281320935,1.8778757266229993
48,COLOMBA,50,1408.38753753151,-0.09573746607717543,1.5187237520065864
49,COLOMBA,51,1167.82797296598,-1.8567684742167163,0.729245330981849
50,COLOMBA,52,1107.92465317994,-2.295294391173051,0.532652115475175
51,COLOMBA,53,1477.2376091155,0.4082836947152282,1.744678791041261
52,COLOMBA,54,1507.10392832494,0.6269219114987066,1.8426953241767225
53,COLOMBA,55,1217.61540245665,-1.4922965509864643,0.8926397954346115
54,COLOMBA,56,1381.30429244082,-0.2940020185254966,1.429840827692017
55,COLOMBA,57,1671.02511163427,1.8269169614565741,2.3806587063656015
56,COLOMBA,58,1421.08065701933,-0.002816708391058783,1.5603805614093682
57,COLOMBA,59,1571.70243418241,1.0998192253093135,2.054697397330709
58,COLOMBA,60,1421.17012579723,-0.002161746729372715,1.5606741837795082
59,FESTIEN,151,361.231103356411,-1.3816660754798769,-1.917877946668552
60,FESTIEN,152,417.282831700881,-1.032365918849662,-1.7339250447374988
61,FESTIEN,153,423.618804573876,-0.9928817426733123,-1.7131313844710203
62,FESTIEN,154,491.204902710393,-0.5717023185523147,-1.4913245062601752
63,FESTIEN,155,580.050152163872,-0.018041254628806524,-1.1997484578051385
64,FESTIEN,156,637.742761773513,0.34148445792741733,-1.0104104432403143
65,FESTIEN,157,604.141614797416,0.1320906310399449,-1.1206840900488289
66,FESTIEN,158,422.128122264416,-1.0021712967969656,-1.718023567901962
67,FESTIEN,159,528.07956399399,-0.34190878064587316,-1.3703077035461602
68,FESTIEN,160,428.469556425391,-0.9626530872588775,-1.6972119845526117
69,FESTIEN,161,603.167422869989,0.12601971399797798,-1.1238812337833928
70,FESTIEN,162,339.60517517136,-1.5164333757117057,-1.9888508205493474
71,FESTIEN,163,562.912397910386,-0.12483939309554656,-1.2559918551208435
72,FESTIEN,164,581.135722075708,-0.011276258232851678,-1.196185789151925
