"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"S135.180.O.2.16S_000000000.J58CV" -0.834177875 0.429448400834182 "L" "H" "A"
"S84.180.O.4.16S_000000000.J53BN" -0.834177875 0.332981816558833 "L" "H" "E"
"X24.63.3.O.16S_000000000.J99GR" -1.039131465 -0.358217490111618 "L" "L" "F"
"S34.63.O.4.16S_000000000.J59B3" -1.039131465 -0.0265483286171667 "L" "M" "B"
"S57.63.O.2.16S_000000000.J53BN" -1.039131465 -0.104604318164167 "L" "L" "B"
"S144.65.O.2.16S_000000000.J58CV" -2.079345609 -0.184584313291783 "L" "L" "A"
"S147.65.O.4.16S_000000000.J52V7" -2.079345609 -0.119006633082733 "L" "L" "E"
"S155.65.O.1.16S_000000000.J52V7" -2.079345609 -0.124934909486967 "L" "L" "A"
"S186.75.O.1.16S_000000000.J52V7" 0.381187902 0.125184251988967 "M" "H" "E"
"S107.75.O.3.16S_000000000.J58CV" 0.381187902 0.0819823416304501 "M" "M" "D"
"S179.75.O.4.16S_000000000.J52V7" 0.381187902 0.0980464025728833 "M" "M" "D"
"S102.76.O.4.16S_000000000.J58CV" 0.82454896 0.0756675692492667 "M" "M" "A"
"S104.76.O.3.16S_000000000.J58CV" 0.82454896 -0.05013075654955 "M" "M" "B"
"S106.76.O.2.16S_000000000.J58CV" 0.82454896 -0.0154038357965667 "M" "M" "F"
"S35.76.O.1.16S_000000000.J59B3" 0.82454896 0.0887611705636166 "M" "M" "F"
"S71.77.O.4.16S_000000000.J53BN" 1.805580785 0.0102491636609167 "H" "M" "A"
"S8.77.O.1.16S_000000000.J59B3" 1.805580785 0.104867374107983 "H" "M" "B"
"S126.76.O.3.16S_000000000.J58CV" -0.357375167 -0.1262683469165 "M" "L" "D"
"S132.76.O.4.16S_000000000.J58CV" -0.357375167 -0.1319993360669 "M" "L" "E"
"S151.76.O.2.16S_000000000.J52V7" -0.357375167 -0.0620956257018833 "M" "M" "C"
"S110.80.O.1.16S_000000000.J58CV" 0.100208072 0.0466292772925999 "M" "M" "F"
"S16.80.O.4.16S_000000000.J59B3" 0.100208072 0.10975620153615 "M" "H" "C"
"S49.80.O.2.16S_000000000.J53BN" 0.100208072 0.0775069392033999 "M" "M" "F"
"S88.80.O.3.16S_000000000.J53BN" 0.100208072 0.0928197179519335 "M" "M" "B"
"S20.86.O.3.16S_000000000.J59B3" 1.573141918 -0.0650163739440666 "H" "M" "D"
"X40.88.4.O.16S_000000000.J99GR" 1.778801556 -0.01813990691315 "H" "M" "E"
