SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,VarietyFullName,Variety,Year_Plot,Plot,Location,PreCrop,PreCrop_clean,SoilType
HeelEye2019.19.12.E.16S_000000000.JH6L7,HeelEye2019-19-12-E-16S,81,Eye,16S,2019-2020,19-12-E,19,19,12,Challenger,A,2020_A_19,A_19,MARKNESSE,Tarwe,Wheat,Clay
HeelEye2019.19.34.E.16S_000000000.JMHTR,HeelEye2019-19-34-E-16S,647,Eye,16S,2019-2020,19-34-E,19,19,34,Challenger,A,2020_A_19,A_19,MARKNESSE,Tarwe,Wheat,Clay
S138.19.O.3.16S_000000000.J58CV,138-19-O-3-16S,138,eye,16S,2018-2019,19-O-3,19,19,3,Challenger,A,2019_A_19,A_19,Pingjum,Grasland,Grass,Clay
S160.19.O.4.16S_000000000.J52V7,160-19-O-4-16S,160,eye,16S,2018-2019,19-O-4,19,19,4,Challenger,A,2019_A_19,A_19,Pingjum,Grasland,Grass,Clay
S89.19.O.1.16S_000000000.J53BN,89-19-O-1-16S,89,eye,16S,2018-2019,19-O-1,19,19,1,Challenger,A,2019_A_19,A_19,Pingjum,Grasland,Grass,Clay
X57.2.1.O.16S_000000000.JCCFG,57-2-1-O-16S,X57,eye,16S,2018-2019,2-O-1,2,2,1,Challenger,A,2019_A_2,A_2,BRITSUM,Grasland,Grass,Clay
HeelEye2019.2.12.E.16S_000000000.JKP3P,HeelEye2019-2-12-E-16S,130,Eye,16S,2019-2020,2-12-E,2,2,12,Challenger,A,2020_A_2,A_2,BLIJHAM,NA,Unknown,Clay
HeelEye2019.2.3.E.16S_000000000.JKP74,HeelEye2019-2-3-E-16S,251,Eye,16S,2019-2020,2-3-E,2,2,3,Challenger,A,2020_A_2,A_2,BLIJHAM,NA,Unknown,Clay
S173.2.O.2.16S_000000000.J52V7,173-2-O-2-16S,173,eye,16S,2018-2019,2-O-2,2,2,2,Challenger,A,2019_A_2,A_2,BRITSUM,Grasland,Grass,Clay
S185.2.O.3.16S_000000000.J52V7,185-2-O-3-16S,185,eye,16S,2018-2019,2-O-3,2,2,3,Challenger,A,2019_A_2,A_2,BRITSUM,Grasland,Grass,Clay
S42.2.O.4.16S_000000000.J59B3,42-2-O-4-16S,42,eye,16S,2018-2019,2-O-4,2,2,4,Challenger,A,2019_A_2,A_2,BRITSUM,Grasland,Grass,Clay
HeelEye2019.20.12.E.16S_000000000.JKP3P,HeelEye2019-20-12-E-16S,104,Eye,16S,2019-2020,20-12-E,20,20,12,Challenger,A,2020_A_20,A_20,MARKNESSE,Peen,Carrot,Clay
HeelEye2019.20.34.E.16S_000000000.JLBMN,HeelEye2019-20-34-E-16S,408,Eye,16S,2019-2020,20-34-E,20,20,34,Challenger,A,2020_A_20,A_20,MARKNESSE,Peen,Carrot,Clay
HeelEye2019.21.12.E.16S_000000000.JMMDW,HeelEye2019-21-12-E-16S,461,Eye,16S,2019-2020,21-12-E,21,21,12,Challenger,A,2020_A_21,A_21,EMMELOORD,Witlof,Chicory,Clay
HeelEye2019.21.34.E.16S_000000000.JKP3P,HeelEye2019-21-34-E-16S,135,Eye,16S,2019-2020,21-34-E,21,21,34,Challenger,A,2020_A_21,A_21,EMMELOORD,Witlof,Chicory,Clay
HeelEye2019.22.12.E.16S_000000000.JKP3P,HeelEye2019-22-12-E-16S,120,Eye,16S,2019-2020,22-12-E,22,22,12,Challenger,A,2020_A_22,A_22,WIERINGERWERF,NA,Unknown,Clay
HeelEye2019.22.34.E.16S_000000000.JFHYF,HeelEye2019-22-34-E-16S,1,Eye,16S,2019-2020,22-34-E,22,22,34,Challenger,A,2020_A_22,A_22,WIERINGERWERF,NA,Unknown,Clay
HeelEye2019.23.12.E.16S_000000000.JMHTR,HeelEye2019-23-12-E-16S,667,Eye,16S,2019-2020,23-12-E,23,23,12,Challenger,A,2020_A_23,A_23,TERHOLE,NA,Unknown,Clay
HeelEye2019.23.34.E.16S_000000000.JMMDW,HeelEye2019-23-34-E-16S,472,Eye,16S,2019-2020,23-34-E,23,23,34,Challenger,A,2020_A_23,A_23,TERHOLE,NA,Unknown,Clay
S158.23.O.2.16S_000000000.J52V7,158-23-O-2-16S,158,eye,16S,2018-2019,23-O-2,23,23,2,Challenger,A,2019_A_23,A_23,STAVENISSE,Wintertarwe,Wheat,Clay
S164.23.O.4.16S_000000000.J52V7,164-23-O-4-16S,164,eye,16S,2018-2019,23-O-4,23,23,4,Challenger,A,2019_A_23,A_23,STAVENISSE,Wintertarwe,Wheat,Clay
S3.23.O.1.16S_000000000.J59B3,3-23-O-1-16S,3,eye,16S,2018-2019,23-O-1,23,23,1,Challenger,A,2019_A_23,A_23,STAVENISSE,Wintertarwe,Wheat,Clay
S36.23.O.3.16S_000000000.J59B3,36-23-O-3-16S,36,eye,16S,2018-2019,23-O-3,23,23,3,Challenger,A,2019_A_23,A_23,STAVENISSE,Wintertarwe,Wheat,Clay
HeelEye2019.24.12.E.16S_000000000.JFHYF,HeelEye2019-24-12-E-16S,19,Eye,16S,2019-2020,24-12-E,24,24,12,Challenger,A,2020_A_24,A_24,ZAAMSLAG,Tarwe,Wheat,Clay
HeelEye2019.24.34.E.16S_000000000.JFHYF,HeelEye2019-24-34-E-16S,16,Eye,16S,2019-2020,24-34-E,24,24,34,Challenger,A,2020_A_24,A_24,ZAAMSLAG,Tarwe,Wheat,Clay
HeelEye2019.25.12.E.16S_000000000.JMMDW,HeelEye2019-25-12-E-16S,474,Eye,16S,2019-2020,25-12-E,25,25,12,Challenger,A,2020_A_25,A_25,ZUIDZANDE,Wintertarwe,Wheat,Clay
HeelEye2019.25.34.E.16S_000000000.JLHG5,HeelEye2019-25-34-E-16S,291,Eye,16S,2019-2020,25-34-E,25,25,34,Challenger,A,2020_A_25,A_25,ZUIDZANDE,Wintertarwe,Wheat,Clay
X7.26.2.O.16S_000000000.J99GR,7_26_2_O_16S,W7,eye,16S,2018-2019,26-O-2,26,26,2,Challenger,A,2019_A_26,A_26,Brantgum,Grasland,Grass,Clay
S116.26.O.1.16S_000000000.J58CV,116-26-O-1-16S,116,eye,16S,2018-2019,26-O-1,26,26,1,Challenger,A,2019_A_26,A_26,Brantgum,Grasland,Grass,Clay
S59.26.O.4.16S_000000000.J53BN,59-26-O-4-16S,59,eye,16S,2018-2019,26-O-4,26,26,4,Challenger,A,2019_A_26,A_26,Brantgum,Grasland,Grass,Clay
S85.26.O.3.16S_000000000.J53BN,85-26-O-3-16S,85,eye,16S,2018-2019,26-O-3,26,26,3,Challenger,A,2019_A_26,A_26,Brantgum,Grasland,Grass,Clay
HeelEye2019.27.12.E.16S_000000000.JLHG5,HeelEye2019-27-12-E-16S,295,Eye,16S,2019-2020,27-12-E,27,27,12,Challenger,A,2020_A_27,A_27,KUITAART,Winterpeen,Carrot,Clay
HeelEye2019.27.34.E.16S_000000000.JLB35,HeelEye2019-27-34-E-16S,513,Eye,16S,2019-2020,27-34-E,27,27,34,Challenger,A,2020_A_27,A_27,KUITAART,Winterpeen,Carrot,Clay
HeelEye2019.28.12.E.16S_000000000.JLBCC,HeelEye2019-28-12-E-16S,614,Eye,16S,2019-2020,28-12-E,28,28,12,Challenger,A,2020_A_28,A_28,KUITAART,Winterpeen,Carrot,Clay
HeelEye2019.28.34.E.16S_000000000.JLHG5,HeelEye2019-28-34-E-16S,319,Eye,16S,2019-2020,28-34-E,28,28,34,Challenger,A,2020_A_28,A_28,KUITAART,Winterpeen,Carrot,Clay
S31.28.O.3.16S_000000000.J59B3,31-28-O-3-16S,31,eye,16S,2018-2019,28-O-3,28,28,3,Challenger,A,2019_A_28,A_28,KLOOSTERBUREN,3 jarig gras,Grass,Clay
S65.28.O.2.16S_000000000.J53BN,65-28-O-2-16S,65,eye,16S,2018-2019,28-O-2,28,28,2,Challenger,A,2019_A_28,A_28,KLOOSTERBUREN,3 jarig gras,Grass,Clay
S70.28.O.1.16S_000000000.J53BN,70-28-O-1-16S,70,eye,16S,2018-2019,28-O-1,28,28,1,Challenger,A,2019_A_28,A_28,KLOOSTERBUREN,3 jarig gras,Grass,Clay
S91.28.O.4.16S_000000000.J53BN,91-28-O-4-16S,91,eye,16S,2018-2019,28-O-4,28,28,4,Challenger,A,2019_A_28,A_28,KLOOSTERBUREN,3 jarig gras,Grass,Clay
HeelEye2019.29.12.E.16S_000000000.JMHR7,HeelEye2019-29-12-E-16S,675,Eye,16S,2019-2020,29-12-E,29,29,12,Challenger,A,2020_A_29,A_29,KRUISLAND,Wintertarwe,Wheat,Clay
HeelEye2019.29.34.E.16S_000000000.JFHYF,HeelEye2019-29-34-E-16S,6,Eye,16S,2019-2020,29-34-E,29,29,34,Challenger,A,2020_A_29,A_29,KRUISLAND,Wintertarwe,Wheat,Clay
HeelEye2019.3.12.E.16S_000000000.JKRF4,HeelEye2019-3-12-E-16S,186,Eye,16S,2019-2020,3-12-E,3,3,12,Challenger,A,2020_A_3,A_3,USQUERT,Wintertarwe,Wheat,Clay
HeelEye2019.3.34.E.16S_000000000.JFHYF,HeelEye2019-3-34-E-16S,40,Eye,16S,2019-2020,3-34-E,3,3,34,Challenger,A,2020_A_3,A_3,USQUERT,Wintertarwe,Wheat,Clay
X32.30.2.O.16S_000000000.J99GR,32_30_2_O_16S,W32,eye,16S,2018-2019,30-O-2,30,30,2,Challenger,A,2019_A_30,A_30,WARFSTERMOLEN,Wintertarwe_bladrammenas,Wheat,Clay
HeelEye2019.30.12.E.16S_000000000.JMM89,HeelEye2019-30-12-E-16S,225,Eye,16S,2019-2020,30-12-E,30,30,12,Challenger,A,2020_A_30,A_30,STAVENISSE,Tarwe,Wheat,Clay
HeelEye2019.30.34.E.16S_000000000.JMLM7,HeelEye2019-30-34-E-16S,381,Eye,16S,2019-2020,30-34-E,30,30,34,Challenger,A,2020_A_30,A_30,STAVENISSE,Tarwe,Wheat,Clay
S122.30.O.4.16S_000000000.J58CV,122-30-O-4-16S,122,eye,16S,2018-2019,30-O-4,30,30,4,Challenger,A,2019_A_30,A_30,WARFSTERMOLEN,Wintertarwe_bladrammenas,Wheat,Clay
S45.30.O.3.16S_000000000.J59B3,45-30-O-3-16S,45,eye,16S,2018-2019,30-O-3,30,30,3,Challenger,A,2019_A_30,A_30,WARFSTERMOLEN,Wintertarwe_bladrammenas,Wheat,Clay
