"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"X41.169.4.O.16S_000000000.J99GR" 2.185907054 0.627526374366733 "H" "H" "E"
"X19.183.1.O.16S_000000000.J99GR" -0.452096434 -0.0850397112295666 "M" "M" "C"
"X31.183.4.O.16S_000000000.J99GR" -0.452096434 -0.1931804184484 "M" "L" "F"
"S127.178.O.3.16S_000000000.J58CV" -1.501092124 -0.270377958006866 "L" "L" "D"
"S15.178.O.2.16S_000000000.J59B3" -1.501092124 -0.286680509782383 "L" "L" "C"
"S69.178.O.4.16S_000000000.J53BN" -1.501092124 -0.195270984986017 "L" "L" "B"
"S90.178.O.1.16S_000000000.J53BN" -1.501092124 -0.125692427105617 "L" "L" "D"
"S148.157.O.4.16S_000000000.J52V7" -1.699693485 -0.295161868189467 "L" "L" "F"
"S156.157.O.3.16S_000000000.J52V7" -1.699693485 -0.583924025607 "L" "L" "A"
"S191.157.O.2.16S_000000000.J52V7" -1.699693485 -0.446925317847317 "L" "L" "B"
"S87.157.O.1.16S_000000000.J53BN" -1.699693485 -0.627863081504617 "L" "L" "A"
"S135.180.O.2.16S_000000000.J58CV" -0.140864605 0.429448400834182 "M" "H" "A"
"S84.180.O.4.16S_000000000.J53BN" -0.140864605 0.332981816558833 "M" "H" "E"
"X24.63.3.O.16S_000000000.J99GR" -0.253667515 -0.358217490111618 "M" "L" "F"
"S34.63.O.4.16S_000000000.J59B3" -0.253667515 -0.0265483286171667 "M" "M" "B"
"S57.63.O.2.16S_000000000.J53BN" -0.253667515 -0.104604318164167 "M" "L" "B"
"S144.65.O.2.16S_000000000.J58CV" -1.605923921 -0.184584313291783 "L" "L" "A"
"S147.65.O.4.16S_000000000.J52V7" -1.605923921 -0.119006633082733 "L" "L" "E"
"S155.65.O.1.16S_000000000.J52V7" -1.605923921 -0.124934909486967 "L" "L" "A"
"S186.75.O.1.16S_000000000.J52V7" 1.427247641 0.125184251988967 "H" "H" "E"
"S107.75.O.3.16S_000000000.J58CV" 1.427247641 0.0819823416304501 "H" "M" "D"
"S179.75.O.4.16S_000000000.J52V7" 1.427247641 0.0980464025728833 "H" "M" "D"
"S102.76.O.4.16S_000000000.J58CV" 0.415528097 0.0756675692492667 "M" "M" "A"
"S104.76.O.3.16S_000000000.J58CV" 0.415528097 -0.05013075654955 "M" "M" "B"
"S106.76.O.2.16S_000000000.J58CV" 0.415528097 -0.0154038357965667 "M" "M" "F"
"S35.76.O.1.16S_000000000.J59B3" 0.415528097 0.0887611705636166 "M" "M" "F"
"S71.77.O.4.16S_000000000.J53BN" 0.948080503 0.0102491636609167 "H" "M" "A"
"S8.77.O.1.16S_000000000.J59B3" 0.948080503 0.104867374107983 "H" "M" "B"
"S126.76.O.3.16S_000000000.J58CV" 0.041796981 -0.1262683469165 "M" "L" "D"
"S132.76.O.4.16S_000000000.J58CV" 0.041796981 -0.1319993360669 "M" "L" "E"
"S151.76.O.2.16S_000000000.J52V7" 0.041796981 -0.0620956257018833 "M" "M" "C"
"S110.80.O.1.16S_000000000.J58CV" 0.533596861 0.0466292772925999 "M" "M" "F"
"S16.80.O.4.16S_000000000.J59B3" 0.533596861 0.10975620153615 "M" "H" "C"
"S49.80.O.2.16S_000000000.J53BN" 0.533596861 0.0775069392033999 "M" "M" "F"
"S88.80.O.3.16S_000000000.J53BN" 0.533596861 0.0928197179519335 "M" "M" "B"
"S20.86.O.3.16S_000000000.J59B3" 1.308771457 -0.0650163739440666 "H" "M" "D"
"X40.88.4.O.16S_000000000.J99GR" 1.968778917 -0.01813990691315 "H" "M" "E"
"S67.88.O.2.16S_000000000.J53BN" 1.968778917 -0.0794320923079667 "H" "M" "A"
"S152.88.O.3.16S_000000000.J52V7" 1.968778917 -0.0420639710172333 "H" "M" "E"
"S190.88.O.1.16S_000000000.J52V7" 1.968778917 -0.0841363720561166 "H" "M" "B"
"S113.89.O.4.16S_000000000.J58CV" -2.1413785 -0.305854409544067 "L" "L" "B"
"S182.89.O.2.16S_000000000.J52V7" -2.1413785 -0.0869036040810502 "L" "M" "F"
"S66.89.O.3.16S_000000000.J53BN" -2.1413785 0.0210651243286667 "L" "M" "E"
"S30.100.O.1.16S_000000000.J59B3" 0.439429693 -0.261982833959083 "M" "L" "A"
"S32.100.O.4.16S_000000000.J59B3" 0.439429693 0.00983685414716668 "M" "M" "A"
"S58.100.O.3.16S_000000000.J53BN" 0.439429693 0.115838138787683 "M" "H" "D"
"S63.100.O.2.16S_000000000.J53BN" 0.439429693 0.1066430616876 "M" "M" "D"
"X43.103.3.O.16S_000000000.J99GR" 0.274031592 -0.2903302722191 "M" "L" "C"
"S184.103.O.4.16S_000000000.J52V7" 0.274031592 -0.242740221087234 "M" "L" "D"
"S11.103.O.1.16S_000000000.J59B3" 0.274031592 -0.1880779432256 "M" "L" "B"
"S10.104.O.1.16S_000000000.J59B3" 1.723084039 0.19374829168905 "H" "H" "C"
"S154.104.O.2.16S_000000000.J52V7" 1.723084039 0.0646633758885834 "H" "M" "F"
"S26.104.O.3.16S_000000000.J59B3" 1.723084039 -0.0138579567035833 "H" "M" "C"
"X68.107.3.O.16S_000000000.JCCFG" -2.838930014 -0.38483018041095 "L" "L" "B"
"S178.107.O.4.16S_000000000.J52V7" -2.838930014 -0.281311926705317 "L" "L" "A"
"S171.107.O.1.16S_000000000.J52V7" -2.838930014 -0.14728476008385 "L" "L" "D"
"S174.107.O.2.16S_000000000.J52V7" -2.838930014 -0.408822911828116 "L" "L" "C"
"X53.115.4.O.16S_000000000.JCCFG" 0.209138918 0.134063896429483 "M" "H" "E"
"S163.115.O.2.16S_000000000.J52V7" 0.209138918 -0.06573709073315 "M" "M" "C"
"S99.117.O.4.16S_000000000.J58CV" -0.098400124 -0.0575854854195334 "M" "M" "A"
"S169.117.O.3.16S_000000000.J52V7" -0.098400124 0.00467006772148332 "M" "M" "C"
"S161.91.O.1.16S_000000000.J52V7" -1.750361609 0.153253751664083 "L" "H" "C"
"S176.91.O.3.16S_000000000.J52V7" -1.750361609 -0.0817168153205168 "L" "M" "D"
"S181.91.O.4.16S_000000000.J52V7" -1.750361609 -0.0527745035823833 "L" "M" "A"
"S188.91.O.2.16S_000000000.J52V7" -1.750361609 0.0647084432806 "L" "M" "C"
"S114.96.O.1.16S_000000000.J58CV" -0.211246509 -0.247798293201116 "M" "L" "A"
"S157.96.O.3.16S_000000000.J52V7" -0.211246509 -0.0923145577731334 "M" "M" "C"
"S83.96.O.4.16S_000000000.J53BN" -0.211246509 -0.176545729497567 "M" "L" "B"
"S125.98.O.2.16S_000000000.J58CV" 0.556956027 -0.0445259372241666 "M" "M" "B"
"S5.98.O.1.16S_000000000.J59B3" 0.556956027 -0.138603674544683 "M" "L" "C"
"S6.98.O.4.16S_000000000.J59B3" 0.556956027 -0.242897409872933 "M" "L" "B"
"X38.122.4.O.16S_000000000.J99GR" -2.099542229 0.108595172058683 "L" "M" "B"
"X56.122.2.O.16S_000000000.JCCFG" -2.099542229 -0.193096379893733 "L" "L" "E"
"S143.125.O.4.16S_000000000.J58CV" 1.107941228 -0.08811642989925 "H" "M" "B"
"S149.125.O.1.16S_000000000.J52V7" 1.107941228 0.05500819390065 "H" "M" "F"
"S21.125.O.3.16S_000000000.J59B3" 1.107941228 0.134727684477233 "H" "H" "C"
"S74.125.O.2.16S_000000000.J53BN" 1.107941228 0.00887181171338336 "H" "M" "D"
"R17.137.O.2.16S_000000000.JCCFG" -0.869798487 -0.314227194792 "L" "L" "C"
"S53.137.O.4.16S_000000000.J53BN" -0.869798487 -0.11551771700285 "L" "L" "C"
"S27.139.O.4.16S_000000000.J59B3" -0.092613183 0.17254638764245 "M" "H" "C"
"S41.139.O.2.16S_000000000.J59B3" -0.092613183 0.270068567310083 "M" "H" "C"
"X18.181.2.O.16S_000000000.J99GR" 0.232971581 -0.156992239192233 "M" "L" "A"
"X42.181.4.O.16S_000000000.J99GR" 0.232971581 0.437653529099616 "M" "H" "B"
"X59.181.3.O.16S_000000000.JCCFG" 0.232971581 -0.10057931158155 "M" "M" "F"
"X63.181.1.O.16S_000000000.JCCFG" 0.232971581 0.68250266789245 "M" "H" "D"
"R18.149.O.3.16S_000000000.JCCFG" 1.013277187 0.0204341116185667 "H" "M" "C"
"S140.149.O.2.16S_000000000.J58CV" 1.013277187 0.585269233559816 "H" "H" "F"
"S19.149.O.4.16S_000000000.J59B3" 1.013277187 0.433702082115766 "H" "H" "E"
"X49.151.3.O.16S_000000000.JCCFG" -0.783475549 0.2718379786994 "L" "H" "F"
"X51.151.4.O.16S_000000000.JCCFG" -0.783475549 0.402397438926983 "L" "H" "F"
"X54.151.2.O.16S_000000000.JCCFG" -0.783475549 0.609991468779116 "L" "H" "E"
"S109.152.O.4.16S_000000000.J58CV" -1.067694199 0.665278370350133 "L" "H" "F"
"S168.152.O.2.16S_000000000.J52V7" -1.067694199 0.568927273615049 "L" "H" "F"
"S62.152.O.1.16S_000000000.J53BN" -1.067694199 0.556127878437 "L" "H" "A"
"S17.157.O.4.16S_000000000.J59B3" 0.905034484 0.450564782698901 "H" "H" "B"
"S39.157.O.3.16S_000000000.J59B3" 0.905034484 0.27184229947385 "H" "H" "F"
"S55.157.O.2.16S_000000000.J53BN" 0.905034484 0.445930329806567 "H" "H" "A"
"R20.158.O.4.16S_000000000.JCCFG" 0.536581637 -0.2899725822674 "M" "L" "F"
"S111.158.O.1.16S_000000000.J58CV" 0.536581637 0.333463936040367 "M" "H" "E"
