,Variety,Batch,49,49_method2,49_method1
0,CHALLENGER,1,709.286876633515,0.42067151710485995,0.17892473946009735
1,CHALLENGER,10,717.734850084972,0.6125869469939607,0.2939452733842968
2,CHALLENGER,11,721.834165656646,0.7057124657600281,0.3497581222867053
3,CHALLENGER,12,722.138554021121,0.7126273577346695,0.3539024194253512
4,CHALLENGER,13,627.826609408489,-1.4298885365226395,-0.9301700610467093
5,CHALLENGER,14,705.454734446555,0.3336154652087978,0.12674949968805777
6,CHALLENGER,15,666.317675277706,-0.5554741582546202,-0.40610793265243367
7,CHALLENGER,16,675.112934032838,-0.3556693323190086,-0.28635905277849205
8,CHALLENGER,17,660.30551841774,-0.692054330407279,-0.4879644271173953
9,CHALLENGER,18,657.943416230191,-0.7457149934491675,-0.5201248329658001
10,CHALLENGER,19,671.119130575323,-0.44639789720451767,-0.340735337068598
11,CHALLENGER,2,640.202059551737,-1.1487513090017656,-0.7616762925461469
12,CHALLENGER,20,632.429187740633,-1.3253302298130787,-0.8675052077261952
13,CHALLENGER,21,562.679055785978,-2.9098672357373228,-1.8171646100440575
14,CHALLENGER,22,703.211868107559,0.28266352269790157,0.09621250933003947
15,CHALLENGER,23,735.057875044734,1.006119881399548,0.5298010785076467
16,CHALLENGER,24,703.324866130592,0.28523053646654206,0.09775099581041481
17,CHALLENGER,25,615.057794908246,-1.7199619533094426,-1.1040195493099236
18,CHALLENGER,27,708.559096782071,0.4041382995400711,0.16901589829560187
19,CHALLENGER,28,697.101761448158,0.14385819228993593,0.01302241239893367
20,CHALLENGER,29,767.795085746049,1.7498220131847035,0.9755235320275343
21,CHALLENGER,3,709.738907231502,0.43094044692976863,0.1850792096450828
22,CHALLENGER,30,727.824077295449,0.8417872858058179,0.4313117444438728
23,CHALLENGER,4,665.701422421527,-0.5694737798790922,-0.41449831561910827
24,CHALLENGER,5,709.01359828259,0.41446336168172554,0.17520401022083837
25,CHALLENGER,6,740.959511753588,1.1401893304262463,0.6101528231218499
26,CHALLENGER,7,725.699105335896,0.7935135892248266,0.40237990525590894
27,CHALLENGER,8,718.677458855506,0.6340005047488169,0.30677904525768657
28,CHALLENGER,9,734.200519020049,0.9866430386998281,0.5181280366486675
29,COLOMBA,31,798.009925012325,0.05781877271962858,1.3869034878016093
30,COLOMBA,32,789.85142426882,-0.04142857211664517,1.275824171924133
31,COLOMBA,33,886.56661572646,1.1351020502705889,2.59261724945451
32,COLOMBA,34,715.436701259221,-0.9466762282266312,0.26265560296877655
33,COLOMBA,35,862.895665743115,0.847147313308716,2.2703334116534095
34,COLOMBA,36,926.4162875183,1.6198693184583925,3.135177018674791
35,COLOMBA,37,907.211653969687,1.3862468738234694,2.8737028062766554
36,COLOMBA,38,795.727679805615,0.03005548824464736,1.3558303477485414
37,COLOMBA,39,697.076875649852,-1.1700216688503293,0.012683588203435505
